,,,,,,CO2 (MtCO2) proximity mileage brackets (to top 20),,,,,,,,,,,,,,,,,,,,,
Key,Country,Group,Year,Ave Temperature,CO2 (MtCO2),1000,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000,12000,13000,Population,GDP-USD (M US$ (2010)),Smoking Rate,Fertility Rate,Electricity production from Fossil Fuel,Electricity from Nuclear,Govt spend on education as % of GDP,Forest area (sq km),Passenger Road Transport M per km
1960Lithuania,Lithuania,Rest,1960,6.191416667,10.8024,1024.4736,980.8932,918.9321,900.5709,202.0696,3188.4641,122.0918,0,88.1302,0,0,0,0,2778550,,,2.56,,,,,
1960Luxembourg,Luxembourg,Rest,1960,9.632583333,11.5086,1989.2662,16.8068,27.3591,891.573,3948.1176,443.6884,0,21.3904,0,88.1302,0,0,0,313970,2711.155752,,2.29,98.63387978,,,,
1960Madagascar,Madagascar,Rest,1960,22.68933333,0.3994,0.3994,97.8581,2.6747,145.1677,147.465,2736.7076,950.4352,232.5907,0,3047.5467,54.3774,0,0,5099373,2074.788352,,7.3,,,,,
1960Malawi,Malawi,Rest,1960,21.422,0.4199,0.4199,97.8581,2.6747,161.9745,1393.9358,1431.6238,992.2414,232.5907,3047.5467,54.3774,0,0,0,3618595,58676.86479,,6.94,,,,,
1960Malaysia,Malaysia,Rest,1960,26.26241667,3.5651,24.9555,120.4833,880.756,1148.8481,19.4815,406.7296,1668.8861,189.5314,0,2912.3927,46.324,0,0,8157106,,,6.45,,,,,
1960Mali,Mali,Rest,1960,28.47375,0.1209,0.1209,109.2678,1885.2966,171.5412,0,4059.603,834.465,245.1289,21.3904,88.1302,0,0,0,5263733,,,6.967,,,,,
1960Malta,Malta,Rest,1960,19.0835,0.3371,380.6017,1614.2998,27.3591,120.4833,1769.5187,3106.4089,308.3585,0,88.1302,0,0,0,0,326550,83002.22283,,3.62,,,,,
1960Mauritania,Mauritania,Rest,1960,27.6765,0.0366,0.0366,380.2646,1614.2998,48.9987,122.5425,4113.9804,780.0876,12.5382,253.9811,0,88.1302,0,0,858168,,,6.775,,,,,
1960Mauritius,Mauritius,Rest,1960,23.45283333,0.1795,0.1795,0,97.8581,147.8424,906.415,1393.9358,1720.5237,46.324,0,189.5314,2858.0153,54.3774,0,659351,13684.03686,,6.167,,,,,
1960Mexico,Mexico,Top20,1960,20.74658333,54.3774,54.3774,2858.0153,189.5314,0,46.324,1668.8861,1433.0352,809.4326,115.4893,239.7318,0,0,0,38174112,,,6.768,,,,,
1960Moldova,Moldova,Rest,1960,9.941083333,9.6733,1149.4191,882.1777,0,1792.1439,202.0696,3188.4641,122.0918,0,88.1302,0,0,0,0,2544000,2401.092802,,3.328,,,,,
1960Mongolia,Mongolia,Rest,1960,-0.796583333,1.2934,781.381,1136.7019,145.1677,1054.5431,964.0864,277.6616,2858.0153,152.2355,0,46.324,0,0,0,955505,1553.924785,,6.953,,,,,
1960Montenegro,Montenegro,Rest,1960,10.89275,,1410.7426,611.1809,0,1012.0563,969.619,3247.3263,75.7678,0,88.1302,0,0,0,0,480579,1951.429898,,3.603,,,,,
1960Morocco,Morocco,Rest,1960,17.85625,3.6384,3.6384,1977.7576,16.8068,27.3591,4083.3018,954.9483,12.5382,232.5907,21.3904,0,88.1302,0,0,12328532,27007.51681,,7.04,,,,,
