,CO2,CO2prox1000,CO2prox2000,CO2prox3000,CO2prox4000,CO2prox5000,CO2prox6000,CO2prox7000,CO2prox8000,CO2prox9000,CO2prox10000,CO2prox11000,CO2prox12000,CO2prox13000,Population,GDP,FertilityRate,ElecFossi,ElecNuclear,ForestArea
104,13.0798,2193.6636,3538.3165,745.0674,1765.7572,1322.9103,693.1448,4846.4523,516.4416,0.0,199.8423,0.0,0.0,0.0,2184145,84038.51547,4.052,100.0,0.0,125360.0
105,21.7421,2217.3701,901.7874,0.0,2772.0448,2610.0362,6625.1157,418.4696,0.0,263.6924,0.0,0.0,0.0,0.0,606372,4716.711711,2.0780000000000003,87.32862484,0.0,6260.0
106,21.7421,21.7421,2633.0391,139.3653,346.7531,7930.6648,3014.1524,248.4545,1082.6554,149.7392,0.0,263.6924,0.0,0.0,24879136,3064.806712,4.0569999999999995,87.32862484,0.0,49540.0
107,1.1203,1.1203,247.7112,0.0,486.1184,1683.773,4044.2696,2470.899,1331.1099,0.0,5544.6351,0.0,0.0,0.0,13247649,130942.5738,6.211,37.44493392,0.0,433780.0
108,0.0,247.7112,0.0,0.0,166.5239,1287.3128,2430.0013,2594.0154,2207.2066,6875.745,0.0,0.0,0.0,0.0,1414692,255700.7091,5.227,0.113895216,0.0,87620.0
109,0.945,565.7832,2360.813,2911.2895,1433.7142,2545.6727,247.7112,429.4524,4846.4523,268.7304,199.8423,0.0,0.0,0.0,18749406,255700.7091,5.172000000000001,0.113895216,0.0,48170.0
110,146.8718,2779.9109,139.3653,346.7531,2207.2066,8021.3267,2047.3938,0.0,149.7392,0.0,263.6924,0.0,0.0,0.0,14951510,255700.7091,1.62,93.46390692,4.868013178,3450.0
111,22.2231,22.2231,0.0,263.6924,0.0,149.7392,1082.6554,2697.7687,5858.844,2636.659,346.7531,139.3653,2633.0391,0.0,3329800,27006.90819,2.18,19.78614598,0.0,96580.0
112,2.4372,2.4372,5115.1827,199.8423,429.4524,0.0,1872.7581,760.2810000000001,2594.2831,1677.8629999999998,3009.1144,149.7392,0.0,0.0,4144565,79876.15198,4.5969999999999995,38.64104324,0.0,45140.0
113,0.7328,0.7328,409.2222,2529.7061,427.9404,764.6805,4387.7904,5544.6351,1480.8491,263.6924,0.0,0.0,0.0,0.0,8012861,9941.364608,7.772,67.41439501,0.0,19450.0
